Designator,Footprint,Quantity,Value,LCSC Part #
J1,Connector_Harting_09452812561_ix_Industrial_Ethernet,1,ix Industrial Ethernet Socket,09452812561
J2,Molex_PicoBlade_53398-0971_1x09-1MP_P1.25mm_Vertical,1,Molex PicoBlade,53398-0971
